CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CH01,CH01_01,CH01_02,CH01_04,CH01_05,CH01_06,CH02,CH06,CH07,CH08,CH09,CH03,CH03x01,CH03x02,CH03x03,CH10,CH10x01,CH10x02,CH10x03,CH11,CH11x01,CH11x02,CH11x03,CH12,CH12x01,CH12x02,CH12x03,CH13,CH13x01,CH13x02,CH13x03,CH04,CH05,CH05_01,CH05_02,CH05_03,CH05_04,CH05_05,CH05_06,CH05_06a,CH19,CH21_01,CO03,CO03_01,CO03_02,CO03_03,CO03_04,CO04_PRV,CO04_OS,CO04_BNM,CO04_BVS,CO04_FmF,DE01,DE02,DE05,DE05_05,DE06,DE06_11,points_given,info_use_info,info_use_text,info_use_structure,info_use_tech,info_use_study,IP01,KR01,NU01,NU02,NU03,NU04_01,NU04_02,SC04,SC05,SC06,SC06_01,SC06_02,SC06_03,SC06_04,SC06_05,SC06_06,SC06_07,SC06_07a,sd_argument,sd_stressed,sd_listening,sd_advantage,sd_litter,sd_help,SE01_01,SE01_02,SE01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,n_chats_valid,obs_info_n,obs_schreiben_n,obs_praktisch_n,obs_technisch_n,obs_lernen_n,obs_sent_freundlich_n,obs_sent_neutral_n,obs_sent_unfreundlich_n,obs_kritisch_ja_n,obs_kritisch_nein_n,final_sample
304,NA,NA,base,interview,2026-07-16T14:34:02Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23,6,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,2026-07-16T14:34:54Z,screenout,TRUE,FALSE,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
306,NA,NA,base,interview,2026-07-16T14:40:55Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2026-07-16T14:41:00Z,NA,FALSE,FALSE,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
310,NA,NA,base,interview,2026-07-16T15:10:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,39,6,16,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,2026-07-16T15:12:11Z,NA,FALSE,FALSE,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
311,NA,NA,base,interview,2026-07-16T16:06:47Z,2,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,NA,NA,NA,NA,NA,NA,10,1,2,2,3,2,3,2,3,NA,NA,5,5,2,6,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21,4,12,9,15,20,21,22,44,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,2026-07-16T16:10:20Z,NA,FALSE,FALSE,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
313,NA,NA,base,interview,2026-07-16T16:54:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,1,50,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,16,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,2026-07-16T16:55:52Z,screenout,TRUE,FALSE,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
314,NA,NA,base,interview,2026-07-16T17:32:47Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,1,22,2,NA,5,NA,10,2,1,2,3,2,3,1,5,NA,NA,5,5,2,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,2,2,1,1,1,5,5,5,NA,4,13,4,9,5,4,10,5,8,11,20,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,30,7,8,5,16,44,769,NA,2026-07-16T17:45:36Z,complete,TRUE,FALSE,30,30,5,3,1,0,0,1,3,2,0,2,3,1
315,NA,NA,base,interview,2026-07-16T18:52:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,1,-2,-2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,4,5,2,6,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,2,3,5,6,10,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,2026-07-16T18:53:35Z,NA,FALSE,FALSE,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
316,NA,NA,base,interview,2026-07-16T18:53:32Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,3,2,3,2,-9,3,4,4,NA,NA,5,5,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,perplexity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,26,4,14,14,7,12,16,13,47,26,56,NA,68761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,2026-07-16T18:57:36Z,NA,FALSE,FALSE,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
323,NA,NA,base,interview,2026-07-16T22:33:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,41,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,2026-07-16T22:34:39Z,screenout,TRUE,FALSE,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
324,NA,NA,base,interview,2026-07-17T16:40:16Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,3,4,-9,2,1,2,5,4,NA,NA,4,4,2,5,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Perplexity, DeepL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,4,6,23,59,11,7,11,57,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,2026-07-17T16:43:42Z,NA,FALSE,FALSE,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
327,NA,NA,base,interview,2026-07-19T13:52:19Z,1,FALSE,TRUE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,2,13,2,NA,3,NA,10,5,3,1,1,-9,3,4,3,NA,NA,4,4,2,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,4,3,4,1,1,1,NA,NA,NA,NA,72,44,5,26,41,19,23,38,19,111,42,11,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,15,21,111,398,NA,2026-07-19T14:02:48Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
328,NA,NA,base,interview,2026-07-19T16:33:45Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,20,5,0,1,1,10,2,NA,4,NA,10,4,1,2,-9,3,3,4,5,NA,NA,4,5,2,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,4,4,4,2,2,1,3,4,4,NA,13,23,7,14,11,7,31,11,13,44,12,1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,31,6,9,6,15,52,1429,NA,2026-07-19T16:57:37Z,complete,TRUE,FALSE,30,30,5,5,0,0,0,0,0,4,1,0,5,1
334,NA,NA,base,interview,2026-07-19T16:55:28Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,7,3,NA,10,NA,10,3,2,2,1,2,3,4,3,NA,NA,4,4,2,3,3,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,3,2,4,2,1,1,2,5,3,NA,9,15,7,8,10,8,66,22,25,136,22,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,24,4,11,5,17,66,777,NA,2026-07-19T17:09:29Z,complete,TRUE,FALSE,30,30,5,2,1,1,0,1,0,2,3,0,5,1
337,NA,NA,base,interview,2026-07-23T14:32:35Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,1,3,2,3,1,2,5,4,NA,NA,4,4,2,4,4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,"Perplexity, DeepL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,10,4,20,5,11,5,8,51,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,2026-07-23T14:34:48Z,NA,FALSE,FALSE,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
338,NA,NA,base,interview,2026-07-27T16:45:00Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,9,2,NA,3,NA,10,1,3,2,4,-9,2,2,5,NA,NA,5,5,2,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,2,1,3,5,5,5,5,5,4,NA,2,6,4,4,4,3,6,3,6,15,4,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,13,2,3,2,3,13,298,NA,2026-07-27T16:49:58Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
339,NA,NA,base,interview,2026-07-27T16:54:46Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,9,2,NA,3,NA,10,1,3,2,4,-9,2,2,5,NA,NA,5,5,2,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,2,3,2,5,5,5,5,5,4,NA,2,9,3,2,3,3,2,2,4,24,11,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,11,2,3,3,2,11,168,NA,2026-07-27T16:59:07Z,complete,TRUE,FALSE,30,30,5,0,2,1,2,0,5,0,0,4,1,1
340,NA,NA,base,interview,2026-07-28T13:19:50Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,14,2,NA,3,NA,10,1,2,3,2,2,3,2,4,NA,NA,4,4,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,2,1,3,5,5,3,3,5,4,NA,8,7,3,3,13,3,10,5,7,33,4,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,3,14,3,4,32,968,NA,2026-07-28T13:36:07Z,complete,TRUE,FALSE,30,30,5,0,1,0,4,0,0,5,0,1,4,1
341,NA,NA,base,interview,2026-07-29T10:20:43Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,20,5,0,1,1,9,2,NA,3,NA,10,2,2,1,5,-9,3,5,5,NA,NA,5,4,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,4,2,4,4,2,2,4,5,3,NA,3,7,3,8,5,25,8,4,9,30,8,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,24,3,5,4,15,24,387,NA,2026-07-29T10:27:29Z,complete,TRUE,FALSE,30,30,5,2,0,0,3,0,0,5,0,0,5,1
345,NA,NA,base,interview,2026-07-29T11:23:04Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,1,-2,-2,NA,5,1,7,1,NA,5,NA,10,4,2,1,3,-9,2,4,4,NA,NA,4,5,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NotebookLM,4,3,3,4,2,1,NA,NA,NA,NA,34,11,3,5,18,6,18,11,16,43,24,7,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,7,15,34,282,NA,2026-07-29T11:27:46Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
347,NA,NA,base,interview,2026-07-29T13:10:53Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"Notebooklm, DeeL, perplexity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,37,7,10,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,2026-07-29T13:14:12Z,screenout,TRUE,FALSE,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
349,NA,NA,base,interview,2026-07-29T13:15:18Z,2,FALSE,TRUE,FALSE,FALSE,TRUE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,1,6,1,NA,3,NA,10,2,-9,4,-9,4,1,4,4,NA,NA,5,3,2,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Perplexity, DeepL, Notebook Lm
",4,4,5,4,2,2,NA,NA,NA,NA,3,4,4,7,35,7,17,16,28,40,40,15,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,114,43,257,NA,2026-07-29T13:22:05Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
350,NA,NA,base,interview,2026-07-29T14:41:39Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,20,5,0,1,1,8,1,NA,8,NA,10,6,-9,1,3,-9,2,2,4,NA,NA,5,4,2,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,4,5,4,2,1,1,2,5,3,NA,106,10,4,6,7,8,13,9,12,197,21,1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,5,6,4,7,46,1643,NA,2026-07-29T15:13:10Z,complete,TRUE,FALSE,30,30,5,1,0,0,3,1,0,5,0,2,3,1
351,NA,NA,base,interview,2026-07-29T14:45:44Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,2026-07-29T14:46:21Z,screenout,TRUE,FALSE,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
352,NA,NA,base,interview,2026-07-29T14:46:29Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,1,9,1,NA,9,NA,10,2,1,2,5,-9,2,5,4,NA,NA,4,3,2,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,3,4,4,4,5,1,NA,NA,NA,NA,2,5,2,12,7,74,13,27,18,83,127,5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,11,60,291,NA,2026-07-29T14:54:15Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
353,NA,NA,base,interview,2026-07-29T14:47:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2026-07-29T14:48:05Z,NA,FALSE,FALSE,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
354,NA,NA,base,interview,2026-07-29T14:48:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,3,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,2026-07-29T14:49:04Z,screenout,TRUE,FALSE,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
355,NA,NA,base,interview,2026-07-29T14:51:37Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,43,6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,2026-07-29T14:53:02Z,NA,FALSE,FALSE,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
356,NA,NA,base,interview,2026-07-29T14:54:46Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,2,9,3,NA,4,NA,10,0,6,4,-9,-9,2,5,3,NA,NA,3,2,2,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Beck-Chat,4,4,4,2,1,2,NA,NA,NA,NA,3,4,2,2,8,3,15,8,8,76,39,25,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,13,42,280,NA,2026-07-29T14:59:27Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
